MILK,MILK INDIAN BUFFALO FLUID,1108,0,0.79,0,0,5.18,19,0,0.0,97,0,0,0.018,0.091,0.192,3.75,0,53,0.135,0.0,0.0,0.052,83.39,1.787,0.146,4.597,6.89,244.0,1 cup,976,1 quart,169,0.046,0.12,31,117,178,52,0.22,178,53,0.36,0.023,2.3,0.0,0.0
MILK SHAKES,MILK SHAKES THICK CHOC,1110,0,0.9,4,0,21.15,11,0,0.300000012,119,0,0,0.039,0.124,0.363,3.05,0,18,0.222,1.9,20.85000038,0.047,72.2,0.78,0.1,1.681,2.7,28.35,1 fl oz,300,1 container   (10.6 oz),132,0.065,0.31,16,126,224,111,0.48,67,18,0.32,0.025,0.0,0.05,0.2
WHEY,WHEY ACID FLUID,1112,0,0.61,0,0,5.12,1,16,0.0,24,0,0,0.002,0.079,0.381,0.76,0,2,0.14,1.8,5.119999886,0.042,93.42,0.025,0.004,0.057,0.09,246.0,1 cup,984,1 quart,103,0.003,0.08,10,78,143,48,0.43,7,2,0.18,0.042,0.1,0.0,0.0
WHEY,WHEY SWEET FLUID,1114,0,0.53,1,0,5.14,2,16,0.0,27,0,0,0.001,0.074,0.383,0.85,0,3,0.158,1.9,5.139999866,0.036,93.12,0.1,0.011,0.23,0.36,246.0,1 cup,984,1 quart,47,0.004,0.06,8,46,161,54,0.13,12,3,0.28,0.031,0.1,0.0,0.0
YOGURT,YOGURT PLN WHL MILK 8 GRAMS PROT PER 8 OZ,1116,0,0.72,5,0,4.66,13,15,0.0,61,0,0,0.004,0.075,0.389,3.47,0,27,0.142,2.2,4.659999847,0.029,87.9,0.893,0.092,2.096,3.25,245.0,1 cup   (8 fl oz),227,1 container   (8 oz),121,0.009,0.05,12,95,155,46,0.59,99,27,0.37,0.032,0.5,0.06,0.2
YOGURT,YOGURT PLN SKIM MILK 13 GRAMS PROT PER 8 OZ,1118,0,1.18,0,0,7.68,2,15,0.0,56,0,0,0.005,0.124,0.641,5.73,0,2,0.234,3.6,7.679999828,0.048,85.23,0.049,0.005,0.116,0.18,245.0,1 cup   (8 fl oz),227,1 container   (8 oz),199,0.015,0.09,19,157,255,77,0.97,7,2,0.61,0.053,0.9,0.0,0.2
YOGURT,YOGURT FRUIT LOFAT 9 GRAMS PROT PER 8 OZ,1120,0,0.93,2,0,18.64,5,15,0.0,99,0,0,0.064,0.086,0.446,3.98,0,11,0.162,2.8,18.63999939,0.034,75.3,0.316,0.033,0.742,1.15,245.0,1 cup   (8 fl oz),125,1 container   (4.4 oz),138,0.079,0.06,13,109,177,53,0.67,40,11,0.43,0.037,0.6,0.02,0.1
YOGURT,YOGURT FRUIT LOFAT 11 GRAMS PROT PER 8 OZ,1122,0,1.03,0,0,18.6,6,0,0.0,105,0,0,0.065,0.105,0.544,4.86,0,0,0.198,3.1,0.0,0.041,74.1,0.387,0.04,0.909,1.41,227.0,1 container   (8 oz),113,.5 container   (4 oz),169,0.08,0.07,16,133,216,65,0.82,60,0,0.52,0.045,0.7,0.0,0.0
EGG,EGG WHITE RAW FRESH,1124,0,0.63,0,0,0.73,0,1,0.0,48,0,0,0.011,0.105,0.19,10.9,0,0,0.439,20.0,0.709999979,0.004,87.57,0.0,0.0,0.0,0.17,243.0,1 cup,33,1 large,7,0.023,0.08,11,15,163,166,0.03,0,0,0.09,0.005,0.0,0.0,0.0
EGG,EGG YOLK RAW FROZEN,1126,36,1.55,85,32,1.15,1075,682,0.0,303,1055,0,0.062,0.045,3.53,15.5,0,423,0.52,41.8,0.50999999,0.155,56.2,9.747,3.628,7.82,25.6,227.0,.5 lb,0,,138,0.024,3.34,9,417,118,67,2.88,1609,433,1.82,0.345,0.0,2.49,0.7
EGG,EGG WHL CKD FRIED,1128,0,1.05,46,10,0.88,457,273,0.0,196,358,0,0.041,0.077,1.558,13.63,0,193,0.518,34.2,0.829999983,0.075,69.13,6.346,2.66,4.294,15.31,46.0,1 large,0,,59,0.111,1.98,13,208,147,204,1.2,729,198,1.39,0.155,0.0,1.22,5.6
EGG,EGG WHOLE COOKED OMELET,1130,0,0.84,36,8,0.68,356,212,0.0,157,279,0,0.032,0.06,1.21,10.59,0,152,0.404,26.7,0.649999976,0.058,75.87,4.971,2.252,3.296,12.03,15.2,1 tbsp,61,1 large,47,0.088,1.55,10,162,114,161,0.93,572,155,1.09,0.121,0.0,1.22,4.5
EGG,EGG WHL CKD SCRMBLD,1132,0,1.36,33,7,2.2,352,190,0.0,167,245,0,0.022,0.079,1.007,11.09,0,140,0.437,22.5,1.730000019,0.052,73.15,4.768,2.148,3.679,12.21,220.0,1 cup,14,1 tbsp,71,0.014,1.2,12,170,138,280,1.0,526,143,0.77,0.118,0.2,1.09,4.0
EGG,EGG WHL DRIED STABILIZED GLUCOSE RED,1134,0,3.63,0,0,2.38,2017,0,0.0,615,0,0,0.15,0.259,6.71,48.17,0,616,1.232,121.1,0.0,0.325,1.87,17.564,5.713,13.198,43.95,85.0,1 cup   sifted,5,1 tbsp,222,0.27,8.28,49,715,515,548,5.71,2050,616,10.51,0.42,0.0,0.0,0.0
EGG,EGG WHITE DRIED PDR GLUCOSE RED,1136,0,4.55,0,0,4.47,0,8,0.0,376,0,0,0.05,0.723,1.958,82.4,0,0,2.316,125.1,4.46999979,0.037,8.54,0.0,0.0,0.0,0.04,107.0,1 cup   sifted,7,1 tbsp,89,0.17,0.24,72,89,1116,1238,0.16,0,0,0.53,0.024,0.0,0.0,0.0
EGG,EGG DUCK WHOLE FRESH RAW,1138,0,1.14,14,12,1.45,884,263,0.0,185,459,0,0.038,0.2,1.862,12.81,12,192,0.404,36.4,0.930000007,0.156,70.83,6.525,1.223,3.681,13.77,70.0,1 egg,0,,64,0.062,3.85,17,220,222,146,1.41,674,194,5.4,0.25,0.0,1.34,0.4
EGG,EGG QUAIL WHOLE FRESH RAW,1140,0,1.1,11,10,0.41,844,263,0.0,158,369,0,0.038,0.15,1.761,13.05,8,155,0.79,32.0,0.409999996,0.13,74.35,4.324,1.324,3.557,11.09,9.0,1 egg,0,,64,0.062,3.65,13,226,132,141,1.47,543,156,1.58,0.15,0.0,1.08,0.3
EGG SUBSTITUTE,EGG SUBSTITUTE FROZEN,1142,0,1.3,135,0,3.2,2,2,0.0,160,0,0,0.006,0.14,1.66,11.29,0,0,0.386,41.3,3.200000048,0.12,73.1,2.435,6.241,1.93,11.11,240.0,1 cup,60,.25 cup,73,0.022,1.98,15,72,213,199,0.98,225,11,0.34,0.133,0.5,1.59,0.2
EGG SUBSTITUTE,EGG SUBSTITUTE POWDER,1144,0,5.84,0,0,21.8,572,118,0.0,444,0,0,0.08,0.577,3.384,55.5,0,369,1.76,127.7,21.79999924,0.226,3.86,5.341,1.683,3.766,13.0,9.9,.35 oz,20,.7 oz,326,0.207,3.16,65,478,744,800,1.82,1230,369,3.52,0.143,0.8,1.26,0.4
